City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Bethel,US,2022-07-22 02:10:10,41.3712,-73.414,81.34,83,41,3.91,scattered clouds
60,Qaanaaq,GL,2022-07-22 02:06:43,77.484,-69.3632,43.68,96,100,8.5,moderate rain
61,Tokur,RU,2022-07-22 02:15:13,53.1333,132.9,62.26,70,71,6.22,broken clouds
62,Sakakah,SA,2022-07-22 02:16:00,29.9697,40.2064,87.37,20,1,5.5,clear sky
63,Petauke,ZM,2022-07-22 02:17:51,-14.2426,31.3253,60.71,65,47,7.81,scattered clouds
64,Flinders,AU,2022-07-22 02:12:19,-34.5833,150.8552,61.38,85,71,4.0,light rain
65,Fellbach,DE,2022-07-22 02:17:52,48.8091,9.277,63.59,89,0,1.14,clear sky
66,Sangar,RU,2022-07-22 02:17:52,63.9242,127.4739,67.41,78,88,2.73,overcast clouds
67,Tura,IN,2022-07-22 02:09:45,25.5198,90.2201,80.2,89,99,2.04,moderate rain
68,Saint-Philippe,RE,2022-07-22 02:17:53,-21.3585,55.7679,65.21,71,27,11.07,scattered clouds
69,Saint George,US,2022-07-22 02:09:44,37.1041,-113.5841,107.64,11,0,13.8,clear sky
70,Port Moresby,PG,2022-07-22 02:11:37,-9.4431,147.1797,81.95,74,17,4.34,few clouds
71,Chokurdakh,RU,2022-07-22 02:10:33,70.6333,147.9167,59.85,27,77,6.17,broken clouds
72,Anqing,CN,2022-07-22 02:17:53,30.5092,117.0506,90.61,67,52,6.62,broken clouds
73,Santa Cruz De La Palma,ES,2022-07-22 02:14:44,28.6835,-17.7642,71.74,83,40,18.41,scattered clouds
74,New Norfolk,AU,2022-07-22 02:10:23,-42.7826,147.0587,53.1,76,2,1.99,clear sky
75,Lensk,RU,2022-07-22 02:17:54,60.7253,114.9278,74.97,54,12,2.37,few clouds
76,Iqaluit,CA,2022-07-22 02:11:35,63.7506,-68.5145,41.7,93,72,6.06,broken clouds
77,Gimli,CA,2022-07-22 02:17:54,50.6336,-96.9907,67.06,78,64,12.28,broken clouds
78,Port Elizabeth,ZA,2022-07-22 02:09:34,-33.918,25.5701,53.51,81,99,7.99,overcast clouds
79,Xining,CN,2022-07-22 02:17:55,36.6167,101.7667,56.84,65,0,2.35,clear sky
80,Ushuaia,AR,2022-07-22 02:06:21,-54.8,-68.3,29.86,93,100,31.07,snow
81,Veraval,IN,2022-07-22 02:11:04,20.9,70.3667,81.18,82,100,15.03,overcast clouds
82,Tiksi,RU,2022-07-22 02:09:46,71.6872,128.8694,45.09,77,63,7.78,broken clouds
83,Bacolod,PH,2022-07-22 02:17:56,10.6667,122.95,85.87,72,46,1.45,scattered clouds
84,Skibbereen,IE,2022-07-22 02:10:12,51.55,-9.2667,53.11,87,19,2.82,few clouds
85,Dingle,PH,2022-07-22 02:10:14,10.9995,122.6711,86.11,74,41,8.3,scattered clouds
86,Villa Carlos Paz,AR,2022-07-22 02:17:56,-31.4241,-64.4978,50.4,10,1,3.0,clear sky
87,Ilulissat,GL,2022-07-22 02:06:44,69.2167,-51.1,50.02,87,75,3.44,broken clouds
88,Pitimbu,BR,2022-07-22 02:17:57,-7.4706,-34.8086,72.19,86,100,6.46,overcast clouds
89,Kavaratti,IN,2022-07-22 02:06:51,10.5669,72.642,81.0,80,100,21.23,overcast clouds
90,Merauke,ID,2022-07-22 02:15:21,-8.4667,140.3333,79.5,73,53,10.56,broken clouds
91,Klaksvik,FO,2022-07-22 02:13:27,62.2266,-6.589,45.52,86,99,6.08,overcast clouds
92,Vostok,RU,2022-07-22 02:12:45,46.4856,135.8833,62.94,95,100,2.55,overcast clouds
93,Saldanha,ZA,2022-07-22 02:07:54,-33.0117,17.9442,53.67,80,100,8.03,overcast clouds
94,Exeter,GB,2022-07-22 02:17:57,50.7236,-3.5275,60.94,84,40,4.61,scattered clouds
95,Tuatapere,NZ,2022-07-22 02:15:19,-46.1333,167.6833,44.22,92,100,3.13,overcast clouds
